,name,country,price_usd,soft_cap_usd,hard_cap_usd,distributed_in_ico,token_for_sale,whitelist,kyc,bonus,restricted_areas,bounty,mvp,pre_ico_price_usd,platform,accepting,link_provided,ico_period,pre_ico_period
355,Carnomaly,USA,0.25,7500000,35000000,0.55,530000000.0,No,Yes,Unavailable,1,Available,Unavailable,0.15,Ethereum,"BTC, ETH, LTC, XRP, USTD, BCH",Yes,30,30
356,Decibels,USA,0.15,2269589,10235850,0.6,30000000.0,No,Yes,Unavailable,1,Available,Unavailable,0.05,Ethereum,"ETH, Various",Yes,115,7
357,Digitize,Australia,0.1435,407751,13591719,0.6,200000000.0,Yes,Yes,Unavailable,1,Available,Unavailable,0.0740570008,Ethereum,ETH,Yes,7,7
358,Flexion,Singapore,0.05,900000,5400000,0.53,170000000.0,No,No,Unavailable,1,Unavailable,Unavailable,0.025,Ethereum,"ETH, BTC",Yes,60,36
359,LUNOX TOKEN,Indonesia,0.0001,43117,431174,0.625,2500000000.0,No,No,Unavailable,1,Available,Unavailable,0.000293641113,Ethereum,ETH,Yes,54,6
360,Ubcoin Market,United Arab Emirates,0.0343,571205,8282486,0.5,325000000.0,No,No,Unavailable,1,Available,Unavailable,0.028882251,Ethereum,ETH,Yes,147,82
361,Baanx.com,UK,0.125,1000000,36850000,0.56,700000000.0,Yes,Yes,Unavailable,2,Unavailable,Unavailable,0.0799999982,Ethereum,"ETH, BTC, BCH, Fiat",Yes,60,48
362,CDRX,Singapore,0.5,5000000,100000000,0.5,200000000.0,Yes,Yes,Unavailable,2,Available,Available,0.5,Ethereum,"BTC, ETH, Fiat",Yes,34,14
363,CRYPTO TRON EXCHANGE AND SHOP,Thailand,10.0,3000000,30000000,0.8,5600000.0,No,Yes,Unavailable,1,Unavailable,Unavailable,7.0,TRON,"USD, EUR, THB, BTC, TRX, ETH",No,61,75
365,BGX,Switzerland,0.1,4000000,50000000,0.5,500000000.0,Yes,Yes,Unavailable,2,Available,Available,0.07,Ethereum,"ETH, BTC, LTC, Fiat",Yes,28,6
367,carboneum,Singapore,0.1,1200000,12000000,0.6,120000000.0,Yes,Yes,Unavailable,2,Available,Unavailable,0.1,Ethereum,ETH,Yes,12,45
368,Clarity,UK,214.2881,907013,23582353,0.75,120000000.0,Yes,Yes,Unavailable,3,Available,Unavailable,0.08,Ethereum,"ETH, LTC, BTC, BCH",Yes,378,63
370,Pool of Stake,Switzerland,0.348,2327476,9309904,0.7609999999999999,53245907.0,No,Yes,Unavailable,7,Available,Available,0.2551109,Ethereum,ETH,Yes,72,32
371,Presale Ventures,Israel,0.2988,366098,3660981,0.6,24000000.0,No,No,Unavailable,4,Available,Available,0.317867036263736,Ethereum,ETH,Yes,61,121
372,4ARTechnologies,Switzerland,0.3499,16845030,280750500,0.2623,1704900000.0,Yes,Yes,Unavailable,1,Unavailable,Unavailable,0.23419479999999998,Ethereum,"ETH, BTC, Fiat",Yes,211,53
373,Coinstantine,Netherlands,0.25,610158,9152381,0.9,100000000.0,No,No,Unavailable,1,Available,Available,0.14354441692307698,Ethereum,"ETH, BNB",Yes,60,45
374,FortFC,Russia,0.2259,2231594,27894925,0.77,231000000.0,Yes,Yes,Unavailable,1,Available,Available,0.1132503,Ethereum,"BTC, ETH, Fiat",Yes,165,95
375,Bitsive Exchange,USA,1.58,500000,10000000,0.89,89000000.0,Yes,No,Unavailable,1,Unavailable,Unavailable,0.79,Ethereum,"BTC, ETH",Yes,154,52
376,Investa,UK,1.0,1000000,30000000,0.6,30000000.0,No,Yes,Unavailable,1,Available,Available,0.4,Ethereum,"BTC, ETH, LTC, Fiat",Yes,61,60
377,Sportco,Cyprus,0.05,150000,24000000,0.5,500000000.0,No,Yes,Unavailable,1,Unavailable,Unavailable,0.04,Ethereum,ETH,Yes,30,56
378,TravelBlock,Canada,0.14,4500000,28200000,0.4,600000000.0,No,No,Unavailable,2,Unavailable,Unavailable,0.115,Ethereum,ETH,Yes,30,42
379,Cremit,Poland,0.75,90000000,8500000,0.4,84000000.0,No,No,Unavailable,2,Unavailable,Unavailable,0.3,Ethereum,BTC,Yes,241,138
380,Ophelius Labs,USA,0.35,350000,15000000,0.21,42857143.0,Yes,Yes,Unavailable,13,Unavailable,Unavailable,0.35,Ethereum,"ETH, USD",Yes,198,16
381,iOlite,Estonia,0.0221,1000000,12500000,0.65,650000000.0,Yes,Yes,Unavailable,9,Available,Unavailable,0.01768,iOlite Blockchain,ETH,Yes,19,21
382,CoinFast,Turkey,0.14,250000,1000000,0.57,70000000.0,Yes,No,Unavailable,1,Available,Available,0.07,Ethereum,"BTC, ETH, LTC, DASH",Yes,30,60
383,DENcoin,Nigeria,0.01,3000000,1000000,0.4,20000000.0,Yes,Yes,Unavailable,1,Available,Available,0.09,Ethereum,ETH,Yes,29,30
