"name","country","ico_start","ico_end","price_usd","soft_cap_usd","hard_cap_usd","distributed_in_ico","token_for_sale","whitelist","kyc","bonus","restricted_areas","bounty","mvp","pre_ico_start","pre_ico_end","pre_ico_price_usd","platform","accepting","link_provided"
"EvoChain","USA","2018-06-01","2018-07-09","0.121","476682","36126299","0.94","3.0315E8","No","Yes","Unavailable","None","Unavailable","Unavailable","2018-04-06","2018-05-03","0.092571251","Ethereum","ETH","Yes"
"True Reply","USA","2018-03-01","2018-04-01","0.0369","5000000","20000000","0.4","2.0E8","No","No","Unavailable","NNone","Unavailable","Unavailable","2018-01-15","2018-02-15","0.02583840088","Ethereum","ETH","Yes"
"Lead Wallet","Nigeria","2020-04-20","2020-05-19","0.04","3000000","15000000","0.4","4.0E8","No","No","Unavailable","None","Available","Unavailable","2020-09-04","2020-09-05","0.0368","Ethereum","ETH","Yes"
"Si14","Switzerland","2020-02-07","2020-07-01","1.0","5000000","19200000","1.0","1.92E7","No","Yes","Unavailable","Algeria, Bangladesh, Bolivia, Ecuador, Ethiopia, Indonesia, Iran, Iraq, Jordan, Kyrgyzstan, Morocco, Nepal, North Korea, Serbia, Sri Lanka, Syria, Trinidad and Tobago, Tunisia, USA, Vanuatu, Yemen","Unavailable","Unavailable","2019-12-27","2020-02-07","0.8","Ethereum","USD, EUR, BTC, ETH, LTC, DASH, XMR, XRP, USDT","Yes"
"NetworkUnits","Australia","2018-05-08","2018-06-08","1.19","2003389","10017549","0.55","1.5817083E7","Not Specified","Not Specified","Unavailable","None","Unavailable","Unavailable","2018-02-08","2018-03-08","4.089035035","Ethereum","ETH","Yes"
"BuratinoBS","Latvia","2018-09-01","2019-01-31","0.1","3000000","18000000","0.9","2.25E8","No","No","Unavailable","USA","Available","Available","2018-08-01","2018-08-31","0.07","Ethereum","BTC, BCH, ETH, ETC, LTC, DASH","Yes"
"Honeypod","USA","2019-03-27","2019-04-26","0.05","2000000","10000000","0.2","2.0E8","No","Yes","Unavailable","North Korea, Republic of the Congo, Eritrea, Ethiopia, Iran, Iraq, Libya, Somalia, Serbia, Sri Lanka, South Sudan, Sudan, Syria, Trinidad and Tobago, Tunisia, Vanuatu, Yemen","Available","Available","2019-03-03","2019-03-22","0.0375","Stellar","BTC, ETH, XLM","Yes"
"imusify","Estonia","2019-04-01","2019-05-31","0.05","1000000","25000000","0.65","6.5E7","Yes","Yes","Unavailable","USA, Canada, China, South Korea, Singapore","Unavailable","Available","2019-03-01","2019-03-31","0.044","NEO","NEO, BTC , ETH, LTC, XMR, BCH, DASH","Yes"
"AVINOC","Hong Kong","2018-07-15","2018-07-31","1.0","8000000","15000000","0.4","4.0E8","No","No","Unavailable","None","Available","Unavailable","2018-06-20","2018-07-15","0.035","Ethereum","ETH, BTC, LTC, BCH, XMR, Fiat","Yes"
"Hala","Estonia","2018-10-01","2018-11-01","0.1","200000","17000000","0.47","2.12E8","Yes","Yes","Available","USA, Canada, China, Singapore","Unavailable","Available","2018-05-02","2018-05-18","0.1","Ethereum","ETH","Yes"
"Smart City Eco","Serbia","2018-04-04","2018-08-04","0.01","1200000","12000000","0.5","5.0E9","No","No","Unavailable","USA","Unavailable","Unavailable","2018-03-06","2018-04-03","0.01","Waves","ETH, BTC, LTC","Yes"
"Utile Network","Poland","2019-01-14","2019-03-14","0.12","2000000","10800000","0.5","1.0E8","No","No","Unavailable","None","Available","Available","2018-11-21","2018-12-31","0.08","Ethereum","ETH","Yes"
